azim_ref,log_maa_list,log_maa_mean,log_maa_sem,maa_list,maa_mean,maa_sem,tag_model
40,"[0.25734650253614233, 0.13314866694090813, 0.30684712237283845, 0.37403803793606477, 1.1636111668066604, 0.5761142727046875, 1.4439506775816717, 0.8804714598348368, 0.5969610870736678, -0.0859884388524046]",0.5646500554935073,0.1505396682022156,"[1.3163533449696132, 1.2168568194776703, 1.4652432430494466, 1.5950858326046256, 3.761556231473966, 1.8196725849517907, 17.251929348999177, 2.538890355392339, 1.9287193336753239, 0.9894662875558496]",3.3883773382149807,1.5610833106893125,models/sound_localization/IHC3000/arch??
45,"[0.36147845840029197, 0.21649190717209563, 0.3453186939573101, 0.305811096314647, 1.1401180108858122, 0.5842712816185761, 1.404248401612639, 0.8031565112371398, 0.6635209662936287, 0.013019288104400922]",0.5837434615596542,0.13668219824209465,"[1.4776672523254686, 1.3661372045756437, 1.5558000590149133, 1.4749925510377613, 3.4758544895250183, 1.8709112820037486, 17.460365603098634, 2.300894428227792, 2.0645549551141573, 1.0977216939064245]",3.414489951882956,1.5750353350732267,models/sound_localization/IHC3000/arch??
50,"[0.5317791146077353, 0.2757114838966804, 0.3930047736075988, 0.312456399681749, 1.1039459946865928, 0.6985758551904159, 1.3349435149552284, 0.782502137813807, 0.7215610236022134, 0.16197158650283003]",0.6316451884544851,0.11874833500347724,"[1.823578850193708, 1.4704173510161211, 1.6472592073502694, 1.5211763377586565, 3.2365340489408676, 2.1307995947275744, 17.03622671543209, 2.273251480209058, 2.264848450869612, 1.2676208232566097]",3.467171285975457,1.5182401863288695,models/sound_localization/IHC3000/arch??
55,"[0.7559201308245013, 0.31619416570017594, 0.4851843966802892, 0.40209465634256225, 1.103163571368705, 0.9115099023469407, 1.2972016063213287, 0.8889790267985416, 0.7878518966897322, 0.3277903620678901]",0.7275889715140667,0.10664655585129253,"[2.55833019896535, 1.5096878976042432, 1.7709783588220773, 1.7932527979342934, 3.1553992923107934, 2.7655407502089986, 16.755952082585466, 2.576358676452987, 2.533474982039982, 1.4630469115870943]",3.6882021948511285,1.463296479822653,models/sound_localization/IHC3000/arch??
60,"[1.2763107229345458, 0.45612885725239244, 0.7555558526974887, 0.670926243240841, 1.3589771153614978, 1.3260068952662853, 1.31482421195256, 1.119363684784933, 0.9794043494192209, 0.5402052535545584]",0.9797703186464324,0.11037491373881891,"[9.585629964739388, 1.6826732192608844, 2.310641094557132, 2.6336567901009733, 4.165890831596374, 4.596181292796268, 16.71974896280659, 3.240023519171444, 3.0680535523617833, 1.861634821737124]",4.986413404912796,1.4897935665477564,models/sound_localization/IHC3000/arch??
65,"[1.7293715513582637, 0.6471768091769167, 1.2536678767764147, 0.9720514216142871, 1.9724962089636573, 2.1183559038908792, 1.4382481498983621, 1.4721540792590908, 1.265411297501952, 0.7847828916217588]",1.3653716190061584,0.15329175737609113,"[18.03583103682621, 1.98729061150102, 4.30381957805533, 3.375509062237262, 10.553699241546468, 17.42284519275674, 16.97788686534256, 4.666547836959577, 4.014080818771941, 2.463296592288092]",8.38008068362852,2.1188099785072305,models/sound_localization/IHC3000/arch??
70,"[2.3599699407660792, 0.98554674006499, 2.045563869663935, 1.3514685841463858, 2.794383855141577, 2.8958668531195433, 1.659828236309808, 1.9735289822657014, 1.7359825298813816, 1.085443526001978]",1.888758311736138,0.20853390735261015,"[25.093330907157736, 2.7576811083892925, 19.89099034419767, 4.459784511716453, 35.11233738180213, 37.63513365272325, 17.62964025109807, 8.481336946566831, 6.342497310183735, 3.3704158928570283]",16.07731483066922,4.152140683374086,models/sound_localization/IHC3000/arch??
75,"[3.0268182048055032, 1.4744238958805156, 2.715686263822375, 1.8911809953243701, 3.3136016982571683, 3.381678133787427, 2.0695410721289558, 2.698143068951575, 2.45063240784497, 1.5027425231733254]",2.4524448263976186,0.22072429306346322,"[36.646680064194065, 4.491792787948725, 29.95136700141464, 7.3532994082489544, 42.0653628184007, 52.12944414577635, 19.394909353772476, 24.699245435972017, 13.066496954030603, 5.141850910572599]",23.494044888033113,5.233407866755753,models/sound_localization/IHC3000/arch??
0,"[-0.24678715501385726, -0.2945032353881535, -0.08559733677778862, 0.1923232813061747, -0.2568256496305899, -0.29593272234399476, -0.20641103036863628, 0.4491599102549712, -0.03627294862350702, 0.15867388574260768]",-0.06221730008427737,0.08011243054820434,"[0.7881341729535141, 0.7608083343563741, 0.9346693173925983, 1.6809398815622665, 0.8666631096426204, 0.7869360217755327, 0.8544045372643767, 1.710224203880134, 0.9677408346381234, 1.6334666367052477]",1.0983987050170787,0.12755547933467798,models/sound_localization/IHC1000/arch??
5,"[-0.2887589872576593, -0.29287565208276023, -0.12317654804646914, 0.18850090017872112, -0.20201456808880236, -0.22999540860536458, -0.29681827619053897, 0.4667229396500434, -0.06770629355423484, 0.17077492180021303]",-0.06753469721968519,0.08216791612673634,"[0.7510410412787912, 0.7706896224487371, 0.922572384088415, 2.038317352209369, 0.9236709266870319, 0.8724632849685804, 0.7759184283429974, 1.8221818263171017, 0.9412712226031582, 1.6330835633850544]",1.1451209652329237,0.1542217718238104,models/sound_localization/IHC1000/arch??
10,"[-0.3133396702371906, -0.3178598881476166, -0.13603767395895114, 0.24680682743115936, -0.013593187991917157, -0.12313390429868114, -0.4005967232552288, 0.41391790998544137, -0.06023816364547029, 0.08945806924421473]",-0.061461640487424044,0.08162550461138922,"[0.7364727770837046, 0.7681137413647896, 0.9679705957148271, 1.951067283184387, 1.1394698694619458, 1.0170905561084784, 0.7054466578793046, 1.7714987266658042, 0.9715895765952167, 1.6291914124792835]",1.165791119653774,0.14346159433322825,models/sound_localization/IHC1000/arch??
15,"[-0.30906842873757034, -0.30795171943653293, 0.006332908885777255, 0.24604356968391639, 0.2468278621380295, -0.06068620664643202, -0.46502242358224116, 0.36990718604344347, -0.02567892960991917, 0.016150421323917436]",-0.028314575993761155,0.08573357830365581,"[0.7750695385195593, 0.794523400247218, 1.508138580018178, 1.484174826310266, 1.5009106831846024, 1.071070795898512, 0.6684786991761188, 1.6712720558834968, 1.061352630578983, 1.5985149708041575]",1.2133506180621092,0.1205874046413447,models/sound_localization/IHC1000/arch??
20,"[-0.24163693004877354, -0.1802183647740548, 0.18578453562689748, 0.20224213449920567, 0.45091873927216874, 0.07144332004296715, -0.45327061658024975, 0.3505183797837641, -0.0067975421809283705, -0.009905242043070195]",0.03690784135979265,0.08753136049428246,"[0.8943035539153116, 0.934034592961985, 2.201287193372239, 1.3174892626964043, 1.8584158124071573, 1.1708551024628537, 0.7028881530492161, 1.6049569500344394, 1.1181859577720044, 1.4613132379105418]",1.3263729816582153,0.14686787913976926,models/sound_localization/IHC1000/arch??
25,"[-0.12391786162171686, -0.02049684798506977, 0.23752965262564274, 0.2550577147133897, 0.5170615825939902, 0.22497542822277825, -0.3101709526057035, 0.3411463420439221, 0.022955447016300968, -0.03535018599414446]",0.11087903190093892,0.0779343735310567,"[1.0221648888459478, 1.1643778115334538, 1.570763919224996, 1.385000627368891, 1.9730169617317992, 1.3169177712836564, 0.8179393836272947, 1.5661389272255615, 1.1666612691716463, 1.1746650554697498]",1.3157646615482996,0.10347179764607527,models/sound_localization/IHC1000/arch??
