condition,cutoff,percent_correct_list,percent_correct_mean,percent_correct_sem,tag_model
High-pass,5800.0,"[81.0, 94.57142857142857, 93.42857142857143, 84.14285714285714, 79.57142857142857, 92.42857142857143, 75.57142857142857, 91.42857142857143, 98.57142857142857, 78.0]",86.87142857142857,2.565641636472779,models/sound_localization/IHC1000/arch??
High-pass,7500.0,"[66.42857142857143, 83.42857142857143, 93.42857142857143, 77.28571428571429, 92.71428571428571, 90.85714285714286, 81.14285714285714, 82.42857142857143, 97.0, 59.857142857142854]",82.45714285714286,3.807487551029834,models/sound_localization/IHC1000/arch??
High-pass,10000.0,"[13.571428571428571, 13.428571428571429, 20.571428571428573, 14.142857142857142, 18.0, 14.142857142857142, 16.0, 16.571428571428573, 16.714285714285715, 13.0]",15.614285714285714,0.7648899851236148,models/sound_localization/IHC1000/arch??
High-pass,13200.0,"[8.714285714285714, 7.142857142857143, 14.142857142857142, 7.142857142857143, 11.714285714285714, 8.714285714285714, 14.285714285714286, 7.285714285714286, 7.142857142857143, 8.571428571428571]",9.485714285714286,0.9007933011676826,models/sound_localization/IHC1000/arch??
High-pass,15300.0,"[7.142857142857143, 7.571428571428571, 6.857142857142857, 6.857142857142857, 7.142857142857143, 7.142857142857143, 7.857142857142857, 7.142857142857143, 7.285714285714286, 7.142857142857143]",7.2142857142857135,0.09583148474999094,models/sound_localization/IHC1000/arch??
Low-pass,3900.0,"[30.571428571428573, 25.285714285714285, 22.0, 19.571428571428573, 15.0, 21.428571428571427, 13.142857142857142, 30.714285714285715, 25.428571428571427, 14.857142857142858]",21.8,1.9895646124061352,models/sound_localization/IHC1000/arch??
Low-pass,6000.0,"[39.142857142857146, 36.0, 38.57142857142857, 25.857142857142858, 30.0, 47.285714285714285, 24.285714285714285, 39.857142857142854, 64.0, 13.714285714285714]",35.871428571428574,4.3656799009698855,models/sound_localization/IHC1000/arch??
Low-pass,8000.0,"[20.285714285714285, 46.42857142857143, 29.571428571428573, 21.571428571428573, 35.42857142857143, 23.714285714285715, 17.0, 36.42857142857143, 32.285714285714285, 18.142857142857142]",28.08571428571429,3.0257549047740424,models/sound_localization/IHC1000/arch??
Low-pass,10300.0,"[28.0, 42.857142857142854, 27.285714285714285, 21.285714285714285, 36.285714285714285, 22.142857142857142, 21.285714285714285, 37.142857142857146, 38.142857142857146, 18.714285714285715]",29.31428571428571,2.7280187257056085,models/sound_localization/IHC1000/arch??
Low-pass,12000.0,"[60.285714285714285, 60.285714285714285, 63.42857142857143, 45.714285714285715, 69.0, 43.57142857142857, 39.142857142857146, 62.142857142857146, 68.71428571428571, 29.142857142857142]",54.142857142857146,4.335321365004961,models/sound_localization/IHC1000/arch??
Low-pass,14500.0,"[76.42857142857143, 86.28571428571429, 95.42857142857143, 70.71428571428571, 73.14285714285714, 74.42857142857143, 64.14285714285714, 92.0, 96.28571428571429, 74.28571428571429]",80.31428571428572,3.569828212867919,models/sound_localization/IHC1000/arch??
Low-pass,16000.0,"[97.57142857142857, 99.57142857142857, 99.85714285714286, 94.42857142857143, 99.42857142857143, 98.85714285714286, 93.57142857142857, 99.57142857142857, 100.0, 84.42857142857143]",96.72857142857143,1.5482343099344007,models/sound_localization/IHC1000/arch??
High-pass,3800.0,"[82.71428571428571, 90.0, 93.57142857142857, 81.0, 92.0, 76.71428571428571, 72.28571428571429, 98.57142857142857, 98.71428571428571, 35.285714285714285]",82.08571428571429,5.923442034229745,models/sound_localization/IHC3000/arch??
High-pass,5800.0,"[87.14285714285714, 92.14285714285714, 89.0, 88.57142857142857, 89.28571428571429, 84.71428571428571, 69.0, 86.14285714285714, 98.71428571428571, 38.42857142857143]",82.31428571428572,5.421122709233893,models/sound_localization/IHC3000/arch??
High-pass,7500.0,"[82.28571428571429, 88.42857142857143, 85.14285714285714, 91.28571428571429, 87.14285714285714, 88.42857142857143, 75.57142857142857, 92.71428571428571, 98.71428571428571, 40.857142857142854]",83.05714285714285,5.079736097560746,models/sound_localization/IHC3000/arch??
High-pass,10000.0,"[19.857142857142858, 15.0, 13.142857142857142, 13.571428571428571, 13.142857142857142, 13.857142857142858, 15.714285714285714, 17.857142857142858, 21.0, 10.428571428571429]",15.357142857142858,1.0442043917698218,models/sound_localization/IHC3000/arch??
High-pass,13200.0,"[7.142857142857143, 14.142857142857142, 12.571428571428571, 13.571428571428571, 12.714285714285714, 14.714285714285714, 14.285714285714286, 7.142857142857143, 7.142857142857143, 11.571428571428571]",11.5,0.9941438504888778,models/sound_localization/IHC3000/arch??
High-pass,15300.0,"[7.285714285714286, 6.285714285714286, 6.571428571428571, 7.142857142857143, 8.0, 7.142857142857143, 6.857142857142857, 7.142857142857143, 9.285714285714286, 6.857142857142857]",7.257142857142857,0.26751565533691707,models/sound_localization/IHC3000/arch??
Low-pass,3900.0,"[22.571428571428573, 22.285714285714285, 25.714285714285715, 15.428571428571429, 17.0, 15.428571428571429, 21.857142857142858, 21.571428571428573, 14.857142857142858, 22.428571428571427]",19.914285714285715,1.2178193216675277,models/sound_localization/IHC3000/arch??
Low-pass,6000.0,"[43.57142857142857, 37.57142857142857, 30.714285714285715, 17.142857142857142, 33.285714285714285, 25.0, 17.571428571428573, 38.714285714285715, 37.142857142857146, 15.571428571428571]",29.628571428571426,3.2168913600984004,models/sound_localization/IHC3000/arch??
Low-pass,8000.0,"[23.714285714285715, 51.0, 20.857142857142858, 14.285714285714286, 14.857142857142858, 27.571428571428573, 17.857142857142858, 43.0, 40.714285714285715, 14.285714285714286]",26.814285714285717,4.246489813594453,models/sound_localization/IHC3000/arch??
Low-pass,10300.0,"[28.285714285714285, 49.285714285714285, 22.428571428571427, 31.714285714285715, 32.857142857142854, 20.0, 23.428571428571427, 48.857142857142854, 48.57142857142857, 15.571428571428571]",32.1,4.015336246202555,models/sound_localization/IHC3000/arch??
Low-pass,12000.0,"[49.0, 81.42857142857143, 55.857142857142854, 50.714285714285715, 59.0, 48.57142857142857, 35.857142857142854, 75.14285714285714, 71.57142857142857, 25.714285714285715]",55.28571428571429,5.491944213770341,models/sound_localization/IHC3000/arch??
Low-pass,14500.0,"[72.0, 93.14285714285714, 75.85714285714286, 71.42857142857143, 81.71428571428571, 70.71428571428571, 65.85714285714286, 99.42857142857143, 98.14285714285714, 58.42857142857143]",78.67142857142856,4.435787771290172,models/sound_localization/IHC3000/arch??
