background_condition,correct_word,fn_eval,snr,tag_expt,tag_model
1,0.0,0015,-9.0,kell_like,human
1,0.0,0016,-9.0,kell_like,human
1,0.1428571428571428,0017,-9.0,kell_like,human
1,0.0,0018,-9.0,kell_like,human
1,0.0714285714285714,0019,-9.0,kell_like,human
1,0.0,0020,-9.0,kell_like,human
1,0.0,0021,-9.0,kell_like,human
1,0.0714285714285714,0022,-9.0,kell_like,human
1,0.0,0023,-9.0,kell_like,human
1,0.0,0024,-9.0,kell_like,human
1,0.0,0025,-9.0,kell_like,human
1,0.0,0026,-9.0,kell_like,human
1,0.0,0027,-9.0,kell_like,human
1,0.0,0028,-9.0,kell_like,human
1,0.0666666666666666,0029,-9.0,kell_like,human
1,0.0,0030,-9.0,kell_like,human
1,0.0,0031,-9.0,kell_like,human
1,0.0,0032,-9.0,kell_like,human
1,0.0714285714285714,0033,-9.0,kell_like,human
1,0.0,0034,-9.0,kell_like,human
1,0.0,0035,-9.0,kell_like,human
1,0.0,0036,-9.0,kell_like,human
1,0.0714285714285714,0037,-9.0,kell_like,human
