condition,cutoff,percent_correct_list,percent_correct_mean,percent_correct_sem,tag_model
Low-pass,16000.0,"[92.85714285714286, 98.71428571428571, 94.57142857142857, 97.57142857142857, 98.85714285714286, 84.0, 82.85714285714286, 100.0, 99.28571428571429, 71.57142857142857]",92.02857142857144,3.0045921014582206,models/sound_localization/simplified_IHC0320/arch??
High-pass,3800.0,"[72.0, 82.14285714285714, 83.57142857142857, 89.57142857142857, 83.85714285714286, 89.28571428571429, 78.28571428571429, 85.0, 85.57142857142857, 30.428571428571427]",77.97142857142856,5.52692030633357,models/sound_localization/simplified_IHC1000/arch??
High-pass,5800.0,"[72.42857142857143, 82.42857142857143, 67.14285714285714, 73.57142857142857, 83.85714285714286, 81.42857142857143, 64.28571428571429, 84.85714285714286, 80.14285714285714, 37.714285714285715]",72.78571428571429,4.50302241659463,models/sound_localization/simplified_IHC1000/arch??
High-pass,7500.0,"[76.28571428571429, 83.28571428571429, 78.42857142857143, 86.71428571428571, 83.0, 80.28571428571429, 66.85714285714286, 80.85714285714286, 88.57142857142857, 33.0]",75.72857142857143,5.115023889265339,models/sound_localization/simplified_IHC1000/arch??
High-pass,10000.0,"[18.428571428571427, 14.571428571428571, 17.285714285714285, 14.285714285714286, 11.714285714285714, 21.857142857142858, 12.571428571428571, 17.142857142857142, 24.285714285714285, 7.142857142857143]",15.928571428571427,1.5822498978445296,models/sound_localization/simplified_IHC1000/arch??
High-pass,13200.0,"[7.571428571428571, 7.142857142857143, 7.142857142857143, 7.285714285714286, 11.285714285714286, 7.142857142857143, 7.285714285714286, 7.142857142857143, 7.142857142857143, 7.142857142857143]",7.628571428571429,0.4086369133890464,models/sound_localization/simplified_IHC1000/arch??
High-pass,15300.0,"[7.142857142857143, 7.142857142857143, 7.0, 7.285714285714286, 8.0, 7.142857142857143, 7.142857142857143, 8.285714285714286, 7.428571428571429, 7.428571428571429]",7.4,0.13265131692556298,models/sound_localization/simplified_IHC1000/arch??
Low-pass,3900.0,"[10.285714285714286, 18.857142857142858, 19.285714285714285, 14.571428571428571, 17.142857142857142, 15.428571428571429, 11.428571428571429, 22.428571428571427, 23.142857142857142, 9.857142857142858]",16.24285714285714,1.5117153987149887,models/sound_localization/simplified_IHC1000/arch??
Low-pass,6000.0,"[16.428571428571427, 20.285714285714285, 25.285714285714285, 29.714285714285715, 31.142857142857142, 31.0, 26.571428571428573, 28.571428571428573, 44.285714285714285, 17.285714285714285]",27.057142857142857,2.5735617254397702,models/sound_localization/simplified_IHC1000/arch??
Low-pass,8000.0,"[14.857142857142858, 25.142857142857142, 19.857142857142858, 19.285714285714285, 27.285714285714285, 18.285714285714285, 15.0, 18.571428571428573, 38.857142857142854, 14.428571428571429]",21.157142857142855,2.3798521267349186,models/sound_localization/simplified_IHC1000/arch??
Low-pass,10300.0,"[17.714285714285715, 37.42857142857143, 25.571428571428573, 21.857142857142858, 23.142857142857142, 30.857142857142858, 13.571428571428571, 32.857142857142854, 26.285714285714285, 26.0]",25.52857142857143,2.2303869283916042,models/sound_localization/simplified_IHC1000/arch??
Low-pass,12000.0,"[45.285714285714285, 59.57142857142857, 46.142857142857146, 62.0, 69.42857142857143, 50.857142857142854, 37.42857142857143, 63.57142857142857, 74.0, 48.714285714285715]",55.7,3.720656928804295,models/sound_localization/simplified_IHC1000/arch??
Low-pass,14500.0,"[48.714285714285715, 56.42857142857143, 64.28571428571429, 71.71428571428571, 66.28571428571429, 71.57142857142857, 56.285714285714285, 79.57142857142857, 73.42857142857143, 37.142857142857146]",62.542857142857144,4.088022436049211,models/sound_localization/simplified_IHC1000/arch??
Low-pass,16000.0,"[80.57142857142857, 90.0, 95.28571428571429, 99.28571428571429, 99.28571428571429, 98.14285714285714, 89.57142857142857, 96.85714285714286, 99.14285714285714, 65.85714285714286]",91.4,3.4151058322993433,models/sound_localization/simplified_IHC1000/arch??
High-pass,3800.0,"[92.0, 85.0, 86.14285714285714, 98.57142857142857, 80.85714285714286, 72.57142857142857, 80.0, 90.28571428571429, 92.85714285714286, 50.42857142857143]",82.87142857142858,4.308481852464493,models/sound_localization/simplified_IHC3000/arch??
High-pass,5800.0,"[83.0, 82.0, 88.42857142857143, 92.0, 72.42857142857143, 82.28571428571429, 82.57142857142857, 85.85714285714286, 92.57142857142857, 67.0]",82.81428571428572,2.537165915811132,models/sound_localization/simplified_IHC3000/arch??
High-pass,7500.0,"[84.0, 91.0, 85.57142857142857, 93.42857142857143, 81.42857142857143, 78.42857142857143, 80.28571428571429, 97.57142857142857, 88.14285714285714, 21.857142857142858]",80.17142857142856,6.756329022435957,models/sound_localization/simplified_IHC3000/arch??
High-pass,10000.0,"[12.142857142857142, 13.714285714285714, 15.0, 38.857142857142854, 11.285714285714286, 19.857142857142858, 7.428571428571429, 27.857142857142858, 24.714285714285715, 7.142857142857143]",17.8,3.1914852704176027,models/sound_localization/simplified_IHC3000/arch??
High-pass,13200.0,"[7.285714285714286, 7.142857142857143, 7.714285714285714, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 8.285714285714286, 7.142857142857143]",7.328571428571429,0.12056179905878248,models/sound_localization/simplified_IHC3000/arch??
High-pass,15300.0,"[7.428571428571429, 7.142857142857143, 9.142857142857142, 7.142857142857143, 7.285714285714286, 7.142857142857143, 6.571428571428571, 6.428571428571429, 7.142857142857143, 8.571428571428571]",7.4,0.2649605284427343,models/sound_localization/simplified_IHC3000/arch??
Low-pass,3900.0,"[22.857142857142858, 21.0, 17.285714285714285, 16.571428571428573, 17.0, 21.571428571428573, 14.714285714285714, 16.142857142857142, 16.857142857142858, 7.142857142857143]",17.114285714285714,1.3923666209932768,models/sound_localization/simplified_IHC3000/arch??
Low-pass,6000.0,"[19.285714285714285, 26.0, 16.571428571428573, 30.857142857142858, 26.0, 22.714285714285715, 18.857142857142858, 27.285714285714285, 32.42857142857143, 16.714285714285715]",23.67142857142857,1.8085272945290842,models/sound_localization/simplified_IHC3000/arch??
Low-pass,8000.0,"[13.857142857142858, 20.285714285714285, 18.571428571428573, 23.714285714285715, 20.714285714285715, 16.428571428571427, 16.0, 26.428571428571427, 24.428571428571427, 14.285714285714286]",19.47142857142857,1.3893096868213695,models/sound_localization/simplified_IHC3000/arch??
Low-pass,10300.0,"[19.428571428571427, 26.571428571428573, 21.714285714285715, 36.285714285714285, 16.714285714285715, 25.285714285714285, 24.428571428571427, 44.0, 20.285714285714285, 18.142857142857142]",25.285714285714285,2.72878333757031,models/sound_localization/simplified_IHC3000/arch??
Low-pass,12000.0,"[51.42857142857143, 53.285714285714285, 46.57142857142857, 56.714285714285715, 49.0, 46.285714285714285, 40.57142857142857, 67.0, 69.28571428571429, 31.571428571428573]",51.17142857142857,3.5904130346851724,models/sound_localization/simplified_IHC3000/arch??
