azim_ref,log_maa_list,log_maa_mean,log_maa_sem,maa_list,maa_mean,maa_sem,tag_model
35,"[1.015057609029534, 0.8722533556530467, 0.7912291591227993, 0.05232325187630291, 1.2731491738829217, 0.3810302980705385, 1.1741956170333394, 1.3466917578988022, 0.7106739900853735, 0.5691923747244562]",0.8185796587377114,0.12938602957927653,"[16.19536476812167, 3.115533114515184, 2.424183072712785, 1.1054171081751758, 4.8254426432144255, 1.5568698909786851, 3.6038158230994597, 9.954013389532689, 2.0791143688523115, 3.9673814185075025]",4.882713559770989,1.4852142513994746,models/sound_localization/simplified_IHC3000/arch??
40,"[1.139736163555311, 1.2378525743709314, 0.9545115069512312, 0.1406419256888146, 1.3257889204648203, 0.4563015411047351, 1.2171307392594222, 1.2220775145820235, 0.8482271736942554, 0.8263548625528371]",0.9368622922224382,0.12148159823476391,"[16.45769003405425, 5.694122523804701, 3.912765321308221, 1.1938308987488566, 4.335401425650969, 1.741783633840079, 3.8494972718956215, 6.964784533486127, 2.3532991687911284, 15.955002003565516]",6.245817681514547,1.7485474817841504,models/sound_localization/simplified_IHC3000/arch??
45,"[1.3148781136033338, 1.7328700006931095, 1.2570386865453338, 0.23912446662670703, 1.4272850313517635, 0.5397418291840334, 1.0614157721470765, 0.8281275904286272, 1.0058242311894108, 0.932199426843053]",1.033850514861245,0.13752339186461776,"[16.857562111316373, 18.827340566165795, 16.63538849899381, 1.3015174691708515, 4.7703242699816055, 1.8737297117656417, 3.1864034251884656, 2.577285622133599, 2.748002329806338, 16.058928349633995]",8.483648235415647,2.3707863175807335,models/sound_localization/simplified_IHC3000/arch??
50,"[1.4642549256522706, 1.8435475952631075, 1.272996515498064, 0.34338073396992314, 1.5964420312372904, 0.637028913714759, 0.9876883009229065, 0.6539291326954014, 1.2409548671166817, 1.1444763095006643]",1.1184699325571068,0.14827790243295405,"[17.336960193596436, 18.34877325338401, 16.655124843510425, 1.4447054986854218, 5.680268953011255, 2.089136858489522, 2.8841233874425476, 1.9503663480978621, 3.6956900444494027, 16.345813771117005]",8.643096315178388,2.3553548555420716,models/sound_localization/simplified_IHC3000/arch??
55,"[1.6650602437636361, 1.9032377660384785, 1.3006719478669704, 0.47634213630287653, 1.892547705867222, 0.7597500936714979, 0.9752858368103109, 0.636519089140024, 1.5498430255545166, 0.9968203935761512]",1.2156078238591683,0.1649015019470591,"[8.949090488908187, 18.46101576519592, 16.69192240869722, 1.6423472534871664, 7.805081369124005, 2.405779636570623, 2.8087503209712126, 1.9022914199384344, 6.757315797335232, 3.178979821702884]",7.060257428193088,1.9371303050272584,models/sound_localization/simplified_IHC3000/arch??
60,"[1.934490391981795, 1.906472982807639, 1.5595992211317802, 0.6338224985330034, 2.6541322152452786, 0.9339782499893463, 1.1243342267867382, 0.8874870492425662, 2.1950441933323384, 1.3327600309452332]",1.5162121059995717,0.20507298732052495,"[19.331416057227354, 8.752271578588015, 17.352413956619582, 1.9244219523851527, 27.1228499553165, 3.033695290086372, 3.485101001402415, 2.4835247315142177, 21.211941995240032, 3.955622103482194]",10.865325862186184,2.987607857559258,models/sound_localization/simplified_IHC3000/arch??
65,"[2.20114364673349, 2.1761492971728575, 2.0793470010545785, 0.8608128048885204, 3.057165132579554, 1.1816561307484326, 1.6890491406803834, 1.2748003648333492, 2.9261279014869572, 1.7257450668182086]",1.9171996486996332,0.22729790006781897,"[20.46468481880825, 20.773677045192972, 16.39424776093661, 2.444175778083886, 39.1442899966031, 4.3162259646363825, 17.676187473707838, 3.741604670039734, 42.41139111779947, 5.947813297354782]",17.331429792316303,4.5126547812519355,models/sound_localization/simplified_IHC3000/arch??
70,"[2.7082104154531, 2.418470009090467, 2.8992703912869118, 1.1838395125272863, 3.350745209896967, 1.5080399815169032, 1.9940168261576439, 1.9190450979681284, 3.4140164102922355, 2.131035141513362]",2.3526688995703005,0.23564262454085116,"[26.591338115238255, 24.094691916852327, 36.53884168139246, 3.475264317105569, 43.5191625465745, 5.78354800430062, 19.277377902617506, 7.707195780780217, 56.032676454143804, 9.551018948449334]",23.257111566745458,5.5928062584233365,models/sound_localization/simplified_IHC3000/arch??
75,"[3.334966101438054, 2.7421516760956117, 3.733283335971917, 1.58157293698483, 3.692127415658259, 2.0070966334198768, 2.5799824795091704, 2.842149818461173, 3.672412515785883, 2.618626074606333]",2.880436898793111,0.23212037092895166,"[49.42353406060706, 25.785910327226862, 63.15765230083543, 5.466965288730648, 56.076813540026585, 9.018000676147983, 25.364487548055905, 28.48847389927825, 62.60025128711738, 16.303639241703785]",34.16857281697299,6.925753710282645,models/sound_localization/simplified_IHC3000/arch??
0,"[-0.6196277779697168, -0.22164805379429212, -0.5771009917599678, -0.19140915069782916, 0.4077920883146964, -0.12647781138536912, -0.3001399826845624, -0.28542734562390537, 0.2071102828836846, -0.1503660911050077]",-0.18572948338222695,0.09872202749811382,"[0.5389099894717074, 0.8708527667112268, 0.6071069600553085, 0.9209638140642157, 1.6820116528732647, 1.0338305749245051, 0.805981053817753, 0.7901969436878149, 1.234704563511652, 0.9948365652894765]",0.9479394884406925,0.10359373995043589,models/sound_localization/simplified_IHC1000/arch??
5,"[-0.4936986843443241, -0.2502760901830616, -0.5734754090397798, -0.16004312777943308, 0.37665497033540424, -0.05792052058735373, -0.28890176422800423, -0.2293857050974509, 0.21459354590142443, -0.1326455253962305]",-0.15950983104188093,0.09137113011012228,"[0.6159087845767902, 0.848365740809455, 0.6087094896580453, 0.934169543064558, 1.655199230945733, 1.0795467308143711, 0.825206601958858, 0.8344489879809641, 1.290865279119794, 1.0323682615197214]",0.9724788650448289,0.09997836951188814,models/sound_localization/simplified_IHC1000/arch??
10,"[-0.26582691160424093, -0.1920075322960558, -0.5347819727241006, 0.001443951141090076, 0.3424850440539635, 0.06911752489995594, -0.24902591764435697, -0.0764381522161659, 0.214295098008191, -0.03701829915927107]",-0.07277571675409907,0.08012381482368969,"[0.8255618055981903, 0.9003635656661345, 0.630339579078314, 1.1224844912388074, 1.590492167489671, 1.201121644367774, 0.8693675772963108, 0.9723175634519593, 1.3538698628304717, 1.2606268961250198]",1.0726545153142653,0.09063559000533629,models/sound_localization/simplified_IHC1000/arch??
15,"[-0.04003160660921438, -0.09595973253316975, -0.4480822295933861, 0.1571093430254156, 0.33579210721534186, 0.2120113892094282, -0.210753435632517, 0.1727502388032305, 0.22152934182277503, 0.04826818647767067]",0.03526336021855746,0.07507083139528677,"[1.084715623467988, 0.9901015034250998, 0.6795847247619852, 1.3345211798715038, 1.5331048581231561, 1.3810684566863387, 0.900713467934935, 1.2930905928725707, 1.31003470344883, 1.4780854989386576]",1.1985020609531065,0.08677400625955083,models/sound_localization/simplified_IHC1000/arch??
20,"[0.08056314430810436, -0.0698331920565894, -0.35832792875342934, 0.21042568982981855, 0.3541492667852708, 0.39057836960235487, -0.16570244513029647, 0.48149104160502304, 0.2923657971632056, 0.08790081419358853]",0.13036105575470508,0.08462816209385131,"[1.184273062825074, 1.0102205109706481, 0.7321144821051243, 1.4692421265331885, 1.5074762594492217, 1.682171868451004, 0.9564119632857485, 1.8301622465464982, 1.395010751402528, 1.398069296522057]",1.3165152568091092,0.10814831943589016,models/sound_localization/simplified_IHC1000/arch??
25,"[0.03499701159335337, 0.08414711834020529, -0.14233621138436184, 0.26286348965153067, 0.40357085943562604, 0.5114691523242348, 0.10194118280625138, 0.7102963364985914, 0.4567267919272233, 0.15650836908673066]",0.2580184100279385,0.08194880483797093,"[1.1366490539752567, 1.1730523253125211, 0.9117641124667499, 1.6236692669596973, 1.531471656597353, 1.9342718297948418, 2.1504200059701826, 2.3197011603294473, 1.7090294384659883, 1.3452936701859872]",1.5835322520058024,0.14463071312235787,models/sound_localization/simplified_IHC1000/arch??
