condition,ild_bias_weight,ild_bias_weight_mean,ild_bias_weight_sem,itd_bias_weight,itd_bias_weight_mean,itd_bias_weight_sem,model,subject
highpass,0.7294258141024207,0.7719580892639673,0.015275123174192981,0.08769557057057056,0.07927730855855855,0.004398730141375377,1000,arch04
highpass,0.7817653306443438,0.7719580892639673,0.015275123174192981,0.09523986486486487,0.07927730855855855,0.004398730141375377,1000,arch05
highpass,0.7289700216563965,0.7719580892639673,0.015275123174192981,0.09520101351351352,0.07927730855855855,0.004398730141375377,1000,arch06
highpass,0.7626949932862072,0.7719580892639673,0.015275123174192981,0.08386186186186187,0.07927730855855855,0.004398730141375377,1000,arch07
highpass,0.8182596669459613,0.7719580892639673,0.015275123174192981,0.06371321321321322,0.07927730855855855,0.004398730141375377,1000,arch08
highpass,0.8331938761503122,0.7719580892639673,0.015275123174192981,0.07981794294294293,0.07927730855855855,0.004398730141375377,1000,arch09
highpass,0.703166458693131,0.7719580892639673,0.015275123174192981,0.05981587837837837,0.07927730855855855,0.004398730141375377,1000,arch10
lowpass,0.27277613282477314,0.3116704033407619,0.005816082311642386,0.9477267267267268,0.927306662912913,0.007155168328217173,1000,arch01
lowpass,0.3188960447382134,0.3116704033407619,0.005816082311642386,0.8840234609609607,0.927306662912913,0.007155168328217173,1000,arch02
lowpass,0.3218748657109426,0.3116704033407619,0.005816082311642386,0.9188391516516516,0.927306662912913,0.007155168328217173,1000,arch03
lowpass,0.28953219442343636,0.3116704033407619,0.005816082311642386,0.9607032657657657,0.927306662912913,0.007155168328217173,1000,arch04
lowpass,0.3086520894365557,0.3116704033407619,0.005816082311642386,0.9479512012012015,0.927306662912913,0.007155168328217173,1000,arch05
lowpass,0.30963689375974285,0.3116704033407619,0.005816082311642386,0.9308917042042044,0.927306662912913,0.007155168328217173,1000,arch06
lowpass,0.3261408104220639,0.3116704033407619,0.005816082311642386,0.9366212462462464,0.927306662912913,0.007155168328217173,1000,arch07
lowpass,0.3158812397601411,0.3116704033407619,0.005816082311642386,0.9179776651651652,0.927306662912913,0.007155168328217173,1000,arch08
lowpass,0.33654751947742706,0.3116704033407619,0.005816082311642386,0.9234408783783785,0.927306662912913,0.007155168328217173,1000,arch09
