metric,task,model,y_mean,y_bootstrap
performance,localization,50,32.6763801765317,32.48955686135766
performance,localization,50,32.6763801765317,33.353900671019694
performance,localization,50,32.6763801765317,31.99729444329241
performance,localization,50,32.6763801765317,31.726533125404906
performance,localization,50,32.6763801765317,33.44082056937462
performance,localization,50,32.6763801765317,32.678843710891414
performance,localization,50,32.6763801765317,32.63220783751521
performance,localization,50,32.6763801765317,32.31415126875845
performance,localization,50,32.6763801765317,32.39865886163412
performance,localization,50,32.6763801765317,32.115574861402465
performance,localization,50,32.6763801765317,33.14665749633666
performance,localization,50,32.6763801765317,32.361203861446604
performance,localization,50,32.6763801765317,32.475413614650364
performance,localization,50,32.6763801765317,32.51315845578965
performance,localization,50,32.6763801765317,33.77154799931712
performance,localization,50,32.6763801765317,32.703283138264645
performance,localization,50,32.6763801765317,32.44426341406323
performance,localization,50,32.6763801765317,32.64527045409754
performance,localization,50,32.6763801765317,32.368349213709315
performance,localization,50,32.6763801765317,32.54299162784132
performance,localization,50,32.6763801765317,35.0319125782921
performance,localization,50,32.6763801765317,32.26506734005714
performance,localization,50,32.6763801765317,30.06337004509218
performance,localization,50,32.6763801765317,34.0395573605645
performance,localization,50,32.6763801765317,31.84691729230251
performance,localization,50,32.6763801765317,33.12543913381427
performance,localization,50,32.6763801765317,31.891897619213136
performance,localization,50,32.6763801765317,32.51679834102071
performance,localization,50,32.6763801765317,32.85408156587196
performance,localization,50,32.6763801765317,32.51744924721335
performance,localization,50,32.6763801765317,32.611207220808026
performance,localization,50,32.6763801765317,33.22925891963143
performance,localization,50,32.6763801765317,33.76263470150492
performance,localization,50,32.6763801765317,31.86300419454754
performance,localization,50,32.6763801765317,32.96443441694678
performance,localization,50,32.6763801765317,32.3727423432435
performance,localization,50,32.6763801765317,32.649767055750544
performance,localization,50,32.6763801765317,32.445449691934456
performance,localization,50,32.6763801765317,31.4249357270724
performance,localization,50,32.6763801765317,33.658627001097685
performance,localization,50,32.6763801765317,33.355264922659146
performance,localization,50,32.6763801765317,33.58002993272093
performance,localization,50,32.6763801765317,32.60768612191715
performance,localization,50,32.6763801765317,33.61324597963206
performance,localization,50,32.6763801765317,33.35470346022109
performance,localization,50,32.6763801765317,33.02582754372166
performance,localization,50,32.6763801765317,32.30540984192831
performance,localization,50,32.6763801765317,32.16236982506619
performance,localization,50,32.6763801765317,32.27834752381945
performance,localization,50,32.6763801765317,33.32807057421731
performance,localization,50,32.6763801765317,33.709491761747756
performance,localization,50,32.6763801765317,33.19991856141812
performance,localization,50,32.6763801765317,32.3207768812018
performance,localization,50,32.6763801765317,32.591368029218955
performance,localization,50,32.6763801765317,32.37990403347145
performance,localization,50,32.6763801765317,32.546255097707764
performance,localization,50,32.6763801765317,32.87305795557537
performance,localization,50,32.6763801765317,33.58354990476769
performance,localization,50,32.6763801765317,31.696306918287906
performance,localization,50,32.6763801765317,31.972143089143742
performance,localization,50,32.6763801765317,34.30592810825529
